iter	Passed	Remaining
0	55	55424
1	55	27857
2	56	18670
3	56	14095
4	56	11322
5	57	9476
6	57	8153
7	57	7159
8	58	6389
9	58	5770
10	58	5263
11	58	4843
12	59	4485
13	59	4180
14	59	3913
15	59	3680
16	60	3475
17	60	3292
18	60	3140
19	61	2993
20	61	2860
21	61	2737
22	61	2625
23	62	2524
24	62	2430
25	62	2344
26	62	2263
27	63	2193
28	63	2124
29	63	2060
30	63	2000
31	64	1944
32	64	1892
33	64	1842
34	65	1793
35	65	1748
36	65	1705
37	65	1666
38	66	1629
39	66	1593
40	66	1558
41	66	1525
42	67	1494
43	67	1464
44	67	1435
45	67	1408
46	68	1383
47	68	1360
48	68	1336
49	69	1313
50	69	1291
51	69	1269
52	69	1248
53	70	1228
54	70	1209
55	70	1190
56	70	1173
57	71	1157
58	71	1140
59	71	1124
60	72	1109
61	72	1093
62	72	1079
63	72	1065
64	73	1062
65	74	1050
66	74	1037
67	74	1024
68	74	1011
69	75	999
70	75	987
71	75	976
72	76	965
73	76	954
74	76	944
75	76	933
76	77	923
77	77	914
78	77	905
79	77	896
80	78	887
81	78	878
82	78	868
83	78	859
84	79	851
85	79	846
86	79	838
87	80	830
88	80	823
89	80	816
90	80	808
91	81	801
92	81	794
93	81	787
94	82	782
95	82	775
96	82	770
97	83	764
98	83	758
99	83	752
100	83	746
101	84	742
102	84	737
103	84	731
104	85	725
105	85	720
106	85	715
107	85	709
108	86	704
109	86	699
110	86	694
111	86	689
112	87	685
113	87	681
114	87	676
115	88	671
116	88	666
117	88	663
118	89	659
119	89	654
120	89	650
121	89	645
122	90	642
123	90	638
124	90	635
125	91	631
126	91	627
127	91	624
128	91	620
129	92	616
130	92	612
131	92	608
132	92	605
133	93	602
134	93	601
135	94	598
136	94	594
137	94	591
138	94	587
139	95	584
140	95	581
141	95	577
142	95	574
143	96	572
144	96	569
145	96	566
146	97	564
147	97	561
148	97	559
149	98	556
150	98	553
151	98	551
152	99	549
153	99	547
154	99	544
155	100	541
156	100	538
157	100	536
158	100	533
159	101	531
160	101	527
161	101	525
162	101	523
163	102	520
164	102	518
165	102	515
166	102	513
167	103	511
168	103	509
169	103	506
170	104	504
171	104	502
172	104	500
173	104	498
174	105	496
175	105	494
176	105	491
177	106	489
178	106	488
179	106	486
180	107	484
181	107	482
182	107	480
183	107	477
184	108	476
185	108	474
186	108	472
187	108	470
188	109	468
189	109	466
190	109	465
191	110	463
192	110	461
193	110	459
194	110	458
195	111	456
196	111	454
197	111	452
198	112	451
199	112	449
200	112	447
201	113	446
202	113	444
203	113	443
204	113	441
205	114	440
206	114	438
207	114	437
208	115	435
209	115	433
210	115	432
211	115	430
212	116	429
213	116	427
214	116	426
215	117	425
216	117	423
217	117	422
218	117	420
219	118	419
220	118	417
221	118	416
222	119	415
223	119	413
224	119	412
225	119	410
226	120	409
227	120	408
228	120	406
229	121	405
230	121	404
231	121	402
232	121	401
233	122	400
234	122	398
235	122	397
236	122	395
237	123	394
238	123	393
239	123	392
240	124	390
241	124	389
242	124	388
243	124	387
244	125	385
245	125	384
246	125	383
247	126	382
248	126	381
249	126	380
250	127	379
251	127	378
252	127	377
253	128	376
254	128	375
255	128	374
256	128	372
257	129	372
258	129	370
259	129	369
260	130	368
261	130	367
262	130	366
263	131	365
264	131	364
265	131	362
266	131	361
267	131	360
268	132	359
269	132	358
270	132	357
271	133	356
272	133	355
273	133	354
274	134	354
275	134	353
276	134	352
277	135	350
278	135	349
279	135	348
280	136	348
281	136	347
282	136	346
283	136	344
284	137	343
285	137	343
286	137	342
287	138	341
288	138	340
289	138	339
290	138	338
291	139	337
292	139	336
293	139	335
294	139	334
295	140	333
296	140	332
297	140	331
298	141	330
299	141	330
300	141	329
301	142	328
302	142	327
303	142	326
304	142	325
305	143	324
306	143	323
307	143	322
308	144	322
309	144	321
310	144	320
311	144	319
312	145	318
313	145	317
314	145	316
315	146	316
316	146	315
317	146	314
318	146	313
319	147	312
320	147	311
321	147	310
322	147	310
323	148	309
324	148	308
325	148	307
326	149	307
327	149	306
328	149	305
329	149	304
330	150	303
331	150	302
332	150	302
333	151	301
334	151	300
335	151	299
336	151	298
337	152	298
338	152	297
339	152	296
340	153	295
341	153	295
342	153	294
343	154	293
344	154	294
345	155	293
346	155	292
347	155	291
348	156	291
349	156	290
350	156	289
351	157	289
352	157	288
353	157	287
354	157	287
355	158	286
356	158	285
357	158	284
358	159	284
359	159	283
360	159	282
361	159	281
362	160	281
363	160	280
364	160	279
365	161	279
366	161	278
367	161	277
368	162	277
369	162	276
370	162	275
371	162	275
372	163	274
373	163	273
374	163	272
375	164	272
376	164	271
377	164	270
378	164	270
379	165	269
380	165	268
381	165	268
382	166	267
383	166	266
384	166	266
385	166	265
386	167	264
387	167	264
388	167	263
389	168	262
390	168	262
391	168	261
392	168	261
393	169	260
394	169	259
395	169	259
396	170	258
397	170	258
398	170	257
399	171	256
400	171	256
401	171	255
402	172	255
403	172	254
404	172	254
405	173	253
406	173	252
407	173	252
408	173	251
409	174	250
410	174	250
411	174	249
412	174	248
413	175	248
414	175	247
415	175	246
416	176	246
417	176	245
418	176	244
419	176	244
420	177	243
421	177	243
422	177	242
423	177	241
424	178	241
425	178	240
426	178	239
427	179	239
428	179	238
429	179	238
430	179	237
431	180	236
432	180	236
433	180	235
434	180	235
435	181	234
436	181	233
437	181	233
438	181	232
439	182	231
440	182	231
441	182	230
442	183	230
443	183	229
444	184	230
445	184	229
446	185	229
447	185	228
448	185	227
449	186	227
450	186	226
451	186	226
452	186	225
453	187	225
454	187	224
455	187	224
456	188	223
457	188	222
458	188	222
459	189	222
460	189	221
461	189	220
462	190	220
463	190	219
464	190	219
465	190	218
466	191	218
467	191	217
468	191	217
469	192	216
470	192	216
471	192	215
472	193	215
473	193	214
474	193	214
475	193	213
476	194	213
477	194	212
478	194	212
479	195	211
480	195	210
481	195	210
482	196	209
483	196	209
484	196	208
485	197	208
486	197	208
487	198	208
488	198	207
489	198	207
490	199	206
491	199	206
492	200	205
493	200	205
494	200	204
495	200	204
496	201	203
497	201	202
498	201	202
499	201	201
500	202	201
501	202	200
502	202	200
503	203	199
504	203	199
505	203	198
506	204	198
507	204	197
508	204	197
509	204	196
510	205	196
511	205	195
512	205	195
513	206	194
514	206	194
515	206	193
516	207	193
517	207	192
518	207	192
519	208	192
520	208	191
521	208	191
522	208	190
523	209	190
524	209	189
525	209	189
526	210	188
527	210	188
528	210	187
529	210	187
530	211	186
531	211	186
532	211	185
533	212	185
534	212	184
535	212	184
536	212	183
537	213	183
538	213	182
539	213	182
540	214	181
541	214	181
542	214	180
543	215	180
544	215	179
545	215	179
546	215	178
547	216	178
548	216	177
549	216	177
550	217	176
551	217	176
552	217	175
553	217	175
554	218	174
555	218	174
556	218	174
557	219	173
558	219	173
559	219	172
560	219	172
561	220	171
562	220	171
563	220	170
564	221	170
565	221	169
566	221	169
567	222	168
568	222	168
569	222	167
570	222	167
571	223	166
572	223	166
573	223	166
574	223	165
575	224	165
576	224	164
577	224	164
578	225	163
579	225	163
580	225	162
581	226	162
582	226	161
583	226	161
584	226	160
585	227	160
586	227	159
587	227	159
588	227	159
589	228	158
590	228	158
591	228	157
592	228	157
593	229	156
594	229	156
595	229	155
596	230	155
597	230	154
598	230	154
599	231	154
600	231	153
601	231	153
602	231	152
603	232	152
604	232	151
605	232	151
606	233	150
607	233	150
608	233	150
609	234	149
610	234	149
611	234	148
612	234	148
613	235	147
614	235	147
615	235	147
616	236	146
617	236	146
618	236	145
619	237	145
620	237	144
621	237	144
622	237	143
623	238	143
624	238	143
625	238	142
626	239	142
627	239	141
628	239	141
629	239	140
630	240	140
631	240	140
632	240	139
633	241	139
634	241	138
635	241	138
636	241	137
637	242	137
638	242	136
639	242	136
640	243	136
641	243	135
642	243	135
643	243	134
644	244	134
645	244	133
646	244	133
647	245	133
648	245	132
649	245	132
650	246	131
651	246	131
652	246	131
653	246	130
654	247	130
655	247	129
656	247	129
657	247	128
658	248	128
659	248	127
660	248	127
661	248	127
662	249	126
663	249	126
664	249	125
665	250	125
666	250	125
667	250	124
668	250	124
669	251	123
670	251	123
671	251	122
672	252	122
673	252	122
674	252	121
675	252	121
676	253	120
677	253	120
678	253	119
679	254	119
680	254	119
681	254	118
682	255	118
683	255	117
684	255	117
685	255	117
686	256	116
687	256	116
688	256	115
689	257	115
690	257	115
691	257	114
692	258	114
693	258	113
694	258	113
695	259	113
696	259	112
697	259	112
698	259	111
699	260	111
700	260	111
701	260	110
702	261	110
703	261	109
704	261	109
705	262	109
706	262	108
707	262	108
708	263	107
709	263	107
710	263	107
711	263	106
712	264	106
713	264	105
714	264	105
715	265	105
716	265	104
717	265	104
718	265	103
719	266	103
720	266	103
721	266	102
722	267	102
723	267	101
724	267	101
725	268	101
726	268	100
727	268	100
728	268	99
729	269	99
730	269	99
731	269	98
732	270	98
733	270	97
734	270	97
735	270	97
736	271	96
737	271	96
738	271	96
739	272	95
740	272	95
741	272	94
742	273	94
743	273	94
744	273	93
745	274	93
746	274	92
747	274	92
748	275	92
749	275	91
750	275	91
751	275	90
752	276	90
753	276	90
754	276	89
755	276	89
756	277	88
757	277	88
758	277	88
759	277	87
760	278	87
761	278	87
762	278	86
763	279	86
764	279	85
765	279	85
766	280	85
767	280	84
768	280	84
769	280	83
770	281	83
771	281	83
772	281	82
773	282	82
774	282	81
775	282	81
776	282	81
777	283	80
778	283	80
779	284	80
780	284	79
781	284	79
782	285	78
783	285	78
784	285	78
785	285	77
786	286	77
787	286	77
788	286	76
789	287	76
790	287	75
791	287	75
792	288	75
793	288	74
794	288	74
795	289	74
796	289	73
797	289	73
798	290	72
799	290	72
800	290	72
801	290	71
802	291	71
803	291	71
804	291	70
805	292	70
806	292	69
807	292	69
808	293	69
809	293	68
810	293	68
811	294	68
812	294	67
813	294	67
814	294	66
815	295	66
816	295	66
817	295	65
818	296	65
819	296	65
820	296	64
821	297	64
822	297	63
823	297	63
824	298	63
825	298	62
826	298	62
827	298	62
828	299	61
829	299	61
830	299	60
831	300	60
832	300	60
833	300	59
834	301	59
835	301	59
836	301	58
837	301	58
838	302	57
839	302	57
840	302	57
841	303	56
842	303	56
843	303	56
844	304	55
845	304	55
846	304	55
847	305	54
848	305	54
849	305	53
850	305	53
851	306	53
852	306	52
853	306	52
854	307	52
855	307	51
856	307	51
857	307	50
858	308	50
859	308	50
860	308	49
861	309	49
862	309	49
863	309	48
864	309	48
865	310	47
866	310	47
867	310	47
868	310	46
869	311	46
870	311	46
871	311	45
872	311	45
873	312	44
874	312	44
875	312	44
876	312	43
877	313	43
878	313	43
879	313	42
880	313	42
881	314	42
882	314	41
883	314	41
884	314	40
885	315	40
886	315	40
887	315	39
888	316	39
889	316	39
890	316	38
891	316	38
892	317	38
893	317	37
894	317	37
895	318	36
896	318	36
897	318	36
898	318	35
899	319	35
900	319	35
901	319	34
902	320	34
903	320	34
904	320	33
905	320	33
906	321	32
907	321	32
908	321	32
909	321	31
910	322	31
911	322	31
912	322	30
913	322	30
914	323	30
915	323	29
916	323	29
917	324	28
918	324	28
919	324	28
920	324	27
921	325	27
922	325	27
923	325	26
924	326	26
925	326	26
926	326	25
927	326	25
928	327	25
929	327	24
930	327	24
931	327	23
932	328	23
933	328	23
934	328	22
935	328	22
936	329	22
937	329	21
938	329	21
939	330	21
940	330	20
941	330	20
942	330	20
943	331	19
944	331	19
945	331	18
946	332	18
947	332	18
948	332	17
949	333	17
950	333	17
951	333	16
952	333	16
953	334	16
954	334	15
955	334	15
956	335	15
957	335	14
958	335	14
959	335	13
960	336	13
961	336	13
962	336	12
963	337	12
964	337	12
965	337	11
966	337	11
967	338	11
968	338	10
969	338	10
970	338	10
971	339	9
972	339	9
973	339	9
974	340	8
975	340	8
976	340	8
977	340	7
978	341	7
979	341	6
980	341	6
981	342	6
982	342	5
